nameWithOwner;closedPRs;mergedPRs;totalPRs
justjavac/awesome-wechat-weapp;28;273;301
vercel/hyper;591;2735;3326
sharkdp/bat;165;1114;1279
oven-sh/bun;145;749;894
tiimgreen/github-cheat-sheet;24;129;153
typescript-cheatsheets/react;69;320;389
rustdesk/rustdesk;146;1252;1398
x64dbg/x64dbg;148;598;746
FiloSottile/mkcert;51;52;103
sherlock-project/sherlock;270;519;789
Dreamacro/clash;177;262;439
nwjs/nw.js;241;570;811
pixijs/pixijs;796;2732;3528
chinese-poetry/chinese-poetry;19;126;145
marktext/marktext;77;930;1007
Alamofire/Alamofire;440;575;1015
commaai/openpilot;2141;6464;8605
Unitech/pm2;283;540;823
Dogfalo/materialize;815;449;1264
apache/dubbo;1733;4092;5825
NationalSecurityAgency/ghidra;492;356;848
styled-components/styled-components;335;884;1219
iperov/DeepFaceLab;88;32;120
minio/minio;977;8071;9048
huginn/huginn;175;944;1119
dypsilon/frontend-dev-bookmarks;103;129;232
dcloudio/uni-app;99;212;311
rclone/rclone;444;1521;1965
pandas-dev/pandas;6079;21994;28073
PowerShell/PowerShell;1342;6142;7484
discourse/discourse;2426;17999;20425
grpc/grpc;4012;17630;21642
isocpp/CppCoreGuidelines;209;762;971
youngyangyang04/leetcode-master;162;1644;1806
Leaflet/Leaflet;881;2777;3658
ultralytics/yolov5;429;1916;2345
impress/impress.js;242;115;357
nektos/act;105;657;762
yangshun/front-end-interview-handbook;34;220;254
BurntSushi/ripgrep;196;453;649
faif/python-patterns;58;262;320
google/zx;92;105;197
rust-lang/rustlings;322;655;977
vuetifyjs/vuetify;1005;3311;4316
hashicorp/terraform;2231;10607;12838
GitSquared/edex-ui;76;399;475
fastlane/fastlane;1027;5978;7005
vuejs/core;1178;1927;3105
agalwood/Motrix;63;167;230
hexojs/hexo;296;836;1132
alex/what-happens-when;60;108;168
wagoodman/dive;20;115;135
streamich/react-use;209;1494;1703
PhilJay/MPAndroidChart;178;190;368
poteto/hiring-without-whiteboards;137;1176;1313
akullpp/awesome-java;257;646;903
go-gitea/gitea;1346;11620;12966
Homebrew/brew;1294;9117;10411
meilisearch/meilisearch;200;1282;1482
romkatv/powerlevel10k;60;128;188
apache/spark;40450;5;40455
FFmpeg/FFmpeg;364;16;380
nocodb/nocodb;268;1751;2019
videojs/video.js;1367;1605;2972
brillout/awesome-react-components;52;295;347
laurent22/joplin;774;1998;2772
php/php-src;7649;1569;9218
RocketChat/Rocket.Chat;2647;10081;12728
gorhill/uBlock;145;210;355
apachecn/ailearning;53;475;528
slatedocs/slate;633;291;924
evanw/esbuild;114;208;322
chubin/cheat.sh;18;122;140
quilljs/quill;259;236;495
iamadamdev/bypass-paywalls-chrome;62;131;193
kelseyhightower/kubernetes-the-hard-way;216;69;285
Asabeneh/30-Days-Of-JavaScript;236;97;333
serhii-londar/open-source-mac-os-apps;88;516;604
nolimits4web/swiper;236;533;769
nodejs/node-v0.x-archive;3543;218;3761
Kong/kong;1562;4101;5663
alvarotrigo/fullPage.js;191;296;487
lerna/lerna;340;814;1154
google/styleguide;140;149;289
nlohmann/json;227;668;895
dkhamsing/open-source-ios-apps;112;737;849
react-hook-form/react-hook-form;362;1790;2152
preactjs/preact;547;1451;1998
jeecgboot/jeecg-boot;151;16;167
sahat/hackathon-starter;260;310;570
skylot/jadx;61;374;435
ant-design/ant-design-pro;469;929;1398
topjohnwu/Magisk;647;1233;1880
TanStack/query;260;1312;1572
photonstorm/phaser;661;1573;2234
jesseduffield/lazygit;136;926;1062
getsentry/sentry;3950;35496;39446
koajs/koa;321;466;787
eugenp/tutorials;3590;9486;13076
jgraph/drawio;116;32;148
google-research/bert;72;32;104
pingcap/tidb;4644;22711;27355
rust-unofficial/awesome-rust;182;1159;1341
airbnb/lottie-android;87;593;680
tabler/tabler;270;373;643
microsoft/monaco-editor;94;328;422
starship/starship;376;2289;2665
open-guides/og-aws;73;498;571
shadowsocks/shadowsocks-android;122;246;368
bumptech/glide;350;455;805
adobe/brackets;1105;4333;5438
AppFlowy-IO/AppFlowy;131;1063;1194
AFNetworking/AFNetworking;789;710;1499
shadowsocks/shadowsocks;75;70;145
nativefier/nativefier;65;256;321
vlang/v;1137;8430;9567
BVLC/caffe;868;1087;1955
LeCoupa/awesome-cheatsheets;43;157;200
zenorocha/clipboard.js;105;117;222
iina/iina;288;506;794
GokuMohandas/Made-With-ML;28;140;168
firstcontributions/first-contributions;10133;55065;65198
istio/istio;5721;20998;26719
gulpjs/gulp;265;396;661
jondot/awesome-react-native;92;912;1004
NervJS/taro;837;2557;3394
SheetJS/sheetjs;199;106;305
immutable-js/immutable-js;230;462;692
satwikkansal/wtfpython;14;94;108
unknwon/the-way-to-go_ZH_CN;94;592;686
google/leveldb;216;61;277
type-challenges/type-challenges;90;469;559
jaredpalmer/formik;330;746;1076
google/material-design-lite;498;655;1153
xitu/gold-miner;366;3531;3897
carbon-app/carbon;130;646;776
alibaba/arthas;207;436;643
chakra-ui/chakra-ui;684;2138;2822
openai/whisper;42;66;108
go-gorm/gorm;503;614;1117
Blankj/AndroidUtilCode;114;87;201
QSCTech/zju-icicles;35;184;219
metabase/metabase;1886;14475;16361
cli/cli;507;1710;2217
psf/black;212;1124;1336
louislam/uptime-kuma;139;717;856
XX-net/XX-Net;120;361;481
koalaman/shellcheck;65;257;322
dbeaver/dbeaver;533;3355;3888
spf13/cobra;326;530;856
dotnet/aspnetcore;2086;12981;15067
pyenv/pyenv;178;765;943
shadowsocks/ShadowsocksX-NG;50;63;113
date-fns/date-fns;369;1023;1392
bilibili/ijkplayer;131;35;166
freeCodeCamp/devdocs;287;546;833
Trinea/android-open-project;69;202;271
blueimp/jQuery-File-Upload;252;119;371
acmesh-official/acme.sh;463;1219;1682
netty/netty;3968;3082;7050
junegunn/vim-plug;68;166;234
typeorm/typeorm;690;1820;2510
zxing/zxing;135;211;346
openai/gym;439;999;1438
denysdovhan/wtfjs;40;124;164
lencx/ChatGPT;11;110;121
mitmproxy/mitmproxy;486;2048;2534
sorrycc/awesome-javascript;354;362;716
appwrite/appwrite;578;1853;2431
prisma/prisma;1263;3786;5049
fxsjy/jieba;17;96;113
carbon-language/carbon-lang;311;1645;1956
naptha/tesseract.js;40;112;152
bayandin/awesome-awesomeness;193;197;390
vim/vim;4900;3;4903
rapid7/metasploit-framework;2106;9855;11961
aria2/aria2;60;206;266
certbot/certbot;784;3638;4422
apache/airflow;5097;15228;20325
atlassian/react-beautiful-dnd;352;524;876
sickcodes/Docker-OSX;8;97;105
vuejs/vue-cli;400;1258;1658
joshbuchea/HEAD;56;86;142
beego/beego;732;1167;1899
